id,admin,first_name,last_name,initial,class,grade,register,reg_date,username,email,cell
48,048-DW,Dimpho,Waite,DW,08M,08,M,2020-08-02,dwaite,dwaite@sla.co.ac,0824509832
49,049-DZ,Don- Clayton,Zwane,DZ,08M,08,M,2020-07-21,dzwane,dzwane@sla.co.ac,0820806920
50,050-DB,Donald,Botha,DB,09M,09,M,2019-05-03,dbotha,dbotha@sla.co.ac,0826645916
51,051-DC,Duncan,Coetzee,DC,09M,09,M,2019-08-14,dcoetzee,dcoetzee@sla.co.ac,0826169659
52,052-DD,Dylan,De Sas Kropiwnicki,DD,09M,09,M,2019-07-24,dde sas kropiwnicki,dde sas kropiwnicki@sla.co.ac,0825605844
53,053-DH,Dylan,Hadebe,DH,09M,09,M,2019-08-26,dhadebe,dhadebe@sla.co.ac,0822753937
54,054-DH,Dylan,Horton,DH,09M,09,M,2019-05-30,dhorton,dhorton@sla.co.ac,0825609417
55,055-DJ,Dylan,Jacobs,DJ,09M,09,M,2019-08-04,djacobs,djacobs@sla.co.ac,0823964467
56,056-DJ,Dzunisani,Jeftha,DJ,09M,09,M,2019-04-17,djeftha,djeftha@sla.co.ac,0820438452
57,057-EK,Emma,Kwinika,EK,09M,09,M,2019-11-03,ekwinika,ekwinika@sla.co.ac,0821748894
58,058-EL,Enrico,Lukhele,EL,09M,09,M,2019-02-21,elukhele,elukhele@sla.co.ac,0829603198
59,059-EM,Ethan,Makowe,EM,09M,09,M,2019-08-10,emakowe,emakowe@sla.co.ac,0824841993
60,060-EM,Ethan,Masemola,EM,09M,09,M,2019-10-13,emasemola,emasemola@sla.co.ac,0825589227
61,061-FM,Fabio,Maziku,FM,09M,09,M,2019-11-29,fmaziku,fmaziku@sla.co.ac,0827851053
62,062-FM,Faith,Mokoena,FM,09M,09,M,2019-03-26,fmokoena,fmokoena@sla.co.ac,0825340145
63,063-GM,Gabriella,Munezi,GM,09M,09,M,2019-06-22,gmunezi,gmunezi@sla.co.ac,0823252615
64,064-GN,Gareth,Naidoo,GN,09M,09,M,2019-04-29,gnaidoo,gnaidoo@sla.co.ac,0826251438
65,065-HN,Hailey,Nyembe,HN,09M,09,M,2019-02-08,hnyembe,hnyembe@sla.co.ac,0828483961
66,066-HP,Hannah,Padayachee,HP,09M,09,M,2019-10-11,hpadayachee,hpadayachee@sla.co.ac,0829097876
67,067-HP,Heidi,Phasha,HP,09M,09,M,2019-01-02,hphasha,hphasha@sla.co.ac,0824338255
68,068-HP,Henna,Pietersen,HP,09M,09,M,2019-10-18,hpietersen,hpietersen@sla.co.ac,0823965130
69,069-HP,Henry,Poulton,HP,09M,09,M,2019-08-20,hpoulton,hpoulton@sla.co.ac,0826701388
70,070-HS,Hlengiwe,Samigramni,HS,09M,09,M,2019-05-12,hsamigramni,hsamigramni@sla.co.ac,0828265416
71,071-HS,Hope,Serage,HS,09M,09,M,2019-03-23,hserage,hserage@sla.co.ac,0824462940
72,072-IS,Isabelle,Solomons,IS,09M,09,M,2019-10-27,isolomons,isolomons@sla.co.ac,0823641513
73,073-IT,Itumeleng,Tetsa,IT,09M,09,M,2019-12-27,itetsa,itetsa@sla.co.ac,0827102218
74,074-JT,Jaelynn,Tladi,JT,09M,09,M,2019-05-11,jtladi,jtladi@sla.co.ac,0829341871
75,075-JA,Jaimie,Aphane,JA,09R,09,R,2019-01-09,japhane,japhane@sla.co.ac,0827528706
76,076-JC,Jamie,Carstens,JC,09R,09,R,2019-08-03,jcarstens,jcarstens@sla.co.ac,0829471696
77,077-JF,Jayden,Fischer,JF,09R,09,R,2019-10-20,jfischer,jfischer@sla.co.ac,0820442325
78,078-JF,Jenna,Fourie,JF,09R,09,R,2019-04-29,jfourie,jfourie@sla.co.ac,0823179646
79,079-JG,Jennifer,Grobler,JG,09R,09,R,2019-11-14,jgrobler,jgrobler@sla.co.ac,0827133496
80,080-JH,Jodi,Hlophe,JH,09R,09,R,2019-06-24,jhlophe,jhlophe@sla.co.ac,0821507754
81,081-JI,Joelle,Ighalo,JI,09R,09,R,2019-12-03,jighalo,jighalo@sla.co.ac,0820429431
82,082-JK,Jonathan,Khoza,JK,09R,09,R,2019-10-04,jkhoza,jkhoza@sla.co.ac,0825854873
83,083-JL,Jordan,Landsberg,JL,09R,09,R,2019-06-25,jlandsberg,jlandsberg@sla.co.ac,0829805196
84,084-JM,Josh,Malatji,JM,09R,09,R,2019-06-30,jmalatji,jmalatji@sla.co.ac,0824110465
85,085-JM,Joshua,Malebana,JM,09R,09,R,2019-07-21,jmalebana,jmalebana@sla.co.ac,0827047739
86,086-JM,Joshua,Matshoba,JM,09R,09,R,2019-08-02,jmatshoba,jmatshoba@sla.co.ac,0824039652
87,087-JM,Joshua,Molalugi,JM,09R,09,R,2019-10-11,jmolalugi,jmolalugi@sla.co.ac,0824777900
88,088-KM,Kamogelo Cristi,Mukwe,KM,09R,09,R,2019-10-21,kmukwe,kmukwe@sla.co.ac,0824112636
89,089-KN,Katlego,Ndlela,KN,09R,09,R,2019-04-30,kndlela,kndlela@sla.co.ac,0825750124
90,090-KO,Katlego,Oxley,KO,09R,09,R,2019-05-20,koxley,koxley@sla.co.ac,0826989786
91,091-KP,Kayleigh,Pailman,KP,09R,09,R,2019-10-12,kpailman,kpailman@sla.co.ac,0821201319
92,092-KR,Keatlehile,Rall,KR,09R,09,R,2019-02-14,krall,krall@sla.co.ac,0826117105
93,093-KR,Keegan,Ramchuran,KR,09R,09,R,2019-02-08,kramchuran,kramchuran@sla.co.ac,0821845695
94,094-KR,Keya,Ramlakan,KR,09R,09,R,2019-07-29,kramlakan,kramlakan@sla.co.ac,0826431970
95,095-KS,Keyla,Smal,KS,09R,09,R,2019-07-07,ksmal,ksmal@sla.co.ac,0828280630
96,096-KS,Kgomaretsane,Sukdaven,KS,09R,09,R,2019-07-26,ksukdaven,ksukdaven@sla.co.ac,0823560717
97,097-KB,Kgothatso,Barnes,KB,10H,10,H,2018-11-27,kbarnes,kbarnes@sla.co.ac,0820783477
98,098-KB,Khiwe,Brown,KB,10H,10,H,2018-01-24,kbrown,kbrown@sla.co.ac,0821653895
99,099-KD,Kim,De Klerk,KD,10H,10,H,2018-01-06,kde klerk,kde klerk@sla.co.ac,0828915239
100,100-KG,Kirsten,Gewanlal,KG,10H,10,H,2018-09-04,kgewanlal,kgewanlal@sla.co.ac,0820508836
101,101-KL,Kristen,Liebenberg,KL,10H,10,H,2018-04-19,kliebenberg,kliebenberg@sla.co.ac,0822632248
102,102-KM,Kwanele,Maharaj,KM,10H,10,H,2018-11-24,kmaharaj,kmaharaj@sla.co.ac,0820508844
103,103-KM,Kyle,Malefofana,KM,10H,10,H,2018-11-26,kmalefofana,kmalefofana@sla.co.ac,0821321364
104,104-LM,Leano,Matlhake,LM,10H,10,H,2018-05-21,lmatlhake,lmatlhake@sla.co.ac,0822066376
105,105-LM,Lesedi,Mavengedza,LM,10H,10,H,2018-12-13,lmavengedza,lmavengedza@sla.co.ac,0825722650
106,106-LM,Lesedi,Mokgatle,LM,10H,10,H,2018-04-26,lmokgatle,lmokgatle@sla.co.ac,0827868479
107,107-LM,Lesedi,Mtetwa,LM,10H,10,H,2018-07-30,lmtetwa,lmtetwa@sla.co.ac,0820587226
108,108-LN,Lethabo,Naidoo,LN,10H,10,H,2018-09-16,lnaidoo,lnaidoo@sla.co.ac,0829167559
109,109-LN,Liam,Narain Singh,LN,10H,10,H,2018-03-19,lnarain singh,lnarain singh@sla.co.ac,0829571855
110,110-LN,Liam,Neave,LN,10H,10,H,2018-07-18,lneave,lneave@sla.co.ac,0822455379
111,111-LP,Liam,Pillay,LP,10H,10,H,2018-06-04,lpillay,lpillay@sla.co.ac,0825137850
112,112-MR,Madison,Ramugumo,MR,10H,10,H,2018-01-01,mramugumo,mramugumo@sla.co.ac,0829413371
113,113-MR,Malina,Reddy,MR,10H,10,H,2018-11-23,mreddy,mreddy@sla.co.ac,0823380830
114,114-MS,Mamello,Spohr,MS,10H,10,H,2018-10-25,mspohr,mspohr@sla.co.ac,0824356472
115,115-MV,Manuel,Vanda,MV,10H,10,H,2018-11-14,mvanda,mvanda@sla.co.ac,0822162194
116,116-MW,Mary,Wanga,MW,10H,10,H,2018-06-12,mwanga,mwanga@sla.co.ac,0826928243
117,117-MB,Mbali,Bambata,MB,10S,10,S,2018-11-21,mbambata,mbambata@sla.co.ac,0823642896
118,118-MC,Mbali,Clarke,MC,10S,10,S,2018-05-27,mclarke,mclarke@sla.co.ac,0826773237
119,119-MD,Megan,Davis,MD,10S,10,S,2018-12-04,mdavis,mdavis@sla.co.ac,0826996837
120,120-Md,Melchior,de Nysschen,Md,10S,10,S,2018-12-11,mde nysschen,mde nysschen@sla.co.ac,0825162390
121,121-ME,Melissa,Elphick,ME,10S,10,S,2018-05-23,melphick,melphick@sla.co.ac,0824352280
122,122-MF,Melissa,Fick,MF,10S,10,S,2018-08-29,mfick,mfick@sla.co.ac,0824864874
123,123-MM,Michael,Machete,MM,10S,10,S,2018-07-23,mmachete,mmachete@sla.co.ac,0822234790
124,124-MM,Michala,McKenna,MM,10S,10,S,2018-01-09,mmckenna,mmckenna@sla.co.ac,0821105286
125,125-MM,Miguel,Mkhabela,MM,10S,10,S,2018-06-20,mmkhabela,mmkhabela@sla.co.ac,0820409979
126,126-MM,Mkateko,Mkhonta,MM,10S,10,S,2018-01-13,mmkhonta,mmkhonta@sla.co.ac,0829625069
127,127-MM,Mohlodi,Molobi,MM,10S,10,S,2018-03-06,mmolobi,mmolobi@sla.co.ac,0826985762
128,128-MN,Molebogeng,Naidu,MN,10S,10,S,2018-06-01,mnaidu,mnaidu@sla.co.ac,0827307869
129,129-MN,Morgan,Nene,MN,10S,10,S,2018-09-05,mnene,mnene@sla.co.ac,0821346918
130,130-MN,Mosibudi,Nhlapo,MN,10S,10,S,2018-10-05,mnhlapo,mnhlapo@sla.co.ac,0828136173
131,131-MP,Mpilo,Pontes,MP,10S,10,S,2018-12-03,mpontes,mpontes@sla.co.ac,0823821388
132,132-MR,Musa,Radebe,MR,10S,10,S,2018-05-24,mradebe,mradebe@sla.co.ac,0826591828
133,133-MV,Musa,VanderMerwe,MV,10S,10,S,2018-03-11,mvandermerwe,mvandermerwe@sla.co.ac,0826912728
134,134-NW,Nakita,Weston,NW,10S,10,S,2018-01-05,nweston,nweston@sla.co.ac,0821412646
135,135-ND,Nathan,Dias,ND,11F,11,F,2017-05-13,ndias,ndias@sla.co.ac,0820124774
136,136-NJ,Nathan,JansevanRensburg,NJ,11F,11,F,2017-07-11,njansevanrensburg,njansevanrensburg@sla.co.ac,0823866411
137,137-NK,Neesan,Kose,NK,11F,11,F,2017-11-15,nkose,nkose@sla.co.ac,0825274481
138,138-NM,Neha,Malapile,NM,11F,11,F,2017-09-16,nmalapile,nmalapile@sla.co.ac,0828217003
139,139-NM,Nikhl,Maloma,NM,11F,11,F,2017-12-29,nmaloma,nmaloma@sla.co.ac,0828249723
140,140-NM,Nkhensani,Manyakoana,NM,11F,11,F,2017-10-21,nmanyakoana,nmanyakoana@sla.co.ac,0820248604
141,141-NM,Nolwazi,Martiens,NM,11F,11,F,2017-01-04,nmartiens,nmartiens@sla.co.ac,0823746317
142,142-NM,Nonjabulo,Moloi,NM,11F,11,F,2017-07-26,nmoloi,nmoloi@sla.co.ac,0823127180
143,143-NN,Ntobeko,Nainaar,NN,11F,11,F,2017-11-03,nnainaar,nnainaar@sla.co.ac,0828993787
144,144-NN,Ntokozo,Nhlapo,NN,11F,11,F,2017-04-11,nnhlapo,nnhlapo@sla.co.ac,0828544143
145,145-NR,Nwabisa,Richter,NR,11F,11,F,2017-01-17,nrichter,nrichter@sla.co.ac,0823229504
146,146-OR,Odwa,Rozycki,OR,11F,11,F,2017-05-15,orozycki,orozycki@sla.co.ac,0822768371
147,147-OS,Olwethu,Seebran,OS,11F,11,F,2017-01-15,oseebran,oseebran@sla.co.ac,0824769042
148,148-OS,Ongratile,Sequeira,OS,11F,11,F,2017-12-02,osequeira,osequeira@sla.co.ac,0827532868
149,149-OS,Onika,Singh,OS,11F,11,F,2017-02-26,osingh,osingh@sla.co.ac,0821066036
150,150-OS,Ora,Smit,OS,11F,11,F,2017-07-14,osmit,osmit@sla.co.ac,0825039507
151,151-OS,Owethu,Strydom,OS,11F,11,F,2017-04-10,ostrydom,ostrydom@sla.co.ac,0826236179
152,152-PV,Palesa,Van Eyk,PV,11F,11,F,2017-10-05,pvan eyk,pvan eyk@sla.co.ac,0825613846
153,153-RV,Remo,Van Niekerk,RV,11F,11,F,2017-04-02,rvan niekerk,rvan niekerk@sla.co.ac,0820334412
154,154-RB,Robyn,Baloyi,RB,11L,11,L,2017-08-25,rbaloyi,rbaloyi@sla.co.ac,0822273498
155,155-RB,Robyn,Bassog,RB,11L,11,L,2017-07-27,rbassog,rbassog@sla.co.ac,0829482496
156,156-RC,Rudheer,Clark,RC,11L,11,L,2017-03-12,rclark,rclark@sla.co.ac,0827867294
157,157-RC,Ryan,Coetzee,RC,11L,11,L,2017-07-13,rcoetzee,rcoetzee@sla.co.ac,0823109902
158,158-SD,Samaira,De Wet,SD,11L,11,L,2017-08-15,sde wet,sde wet@sla.co.ac,0823850037
159,159-SD,Samkelisiwe,Dlamini,SD,11L,11,L,2017-01-20,sdlamini,sdlamini@sla.co.ac,0828423700
160,160-SG,Sanda,Gaffney,SG,11L,11,L,2017-11-01,sgaffney,sgaffney@sla.co.ac,0826142113
161,161-SG,Sarah,Govender,SG,11L,11,L,2017-08-19,sgovender,sgovender@sla.co.ac,0824831608
162,162-SH,Schweta,Haviga,SH,11L,11,L,2017-05-08,shaviga,shaviga@sla.co.ac,0820155138
163,163-SJ,Sean,Jakavula,SJ,11L,11,L,2017-01-28,sjakavula,sjakavula@sla.co.ac,0825526401
164,164-SJ,Seleenah,Jerry,SJ,11L,11,L,2017-05-29,sjerry,sjerry@sla.co.ac,0825037063
165,165-SM,Sello Jnr,Mills,SM,11L,11,L,2017-02-18,smills,smills@sla.co.ac,0828217858
166,166-SM,Shaariq,Mojapelo,SM,11L,11,L,2017-01-16,smojapelo,smojapelo@sla.co.ac,0828694409
167,167-SM,Shae,Mokoena,SM,11L,11,L,2017-11-25,smokoena,smokoena@sla.co.ac,0826776864
168,168-SM,Shannon,Monyanyedi,SM,11L,11,L,2017-12-08,smonyanyedi,smonyanyedi@sla.co.ac,0820915923
169,169-SS,Shihaab,Sebata,SS,11L,11,L,2017-11-29,ssebata,ssebata@sla.co.ac,0822776675
170,170-SS,Shravan,Smith,SS,11L,11,L,2017-07-02,ssmith,ssmith@sla.co.ac,0820223840
171,171-ST,Shriadh,Themba,ST,11L,11,L,2017-06-16,sthemba,sthemba@sla.co.ac,0821046202
172,172-SZ,Siamkele,Zwane,SZ,11L,11,L,2017-03-24,szwane,szwane@sla.co.ac,0820247061
173,173-SD,Siphesihle,De Grandi Sala,SD,12G,12,G,2016-04-23,sde grandi sala,sde grandi sala@sla.co.ac,0827749725
174,174-SD,Siya,Delaport,SD,12G,12,G,2016-03-05,sdelaport,sdelaport@sla.co.ac,0820344356
175,175-SD,Siyamthanda,Delport,SD,12G,12,G,2016-03-26,sdelport,sdelport@sla.co.ac,0820809595
176,176-TF,Tapuwa,Fairhurst,TF,12G,12,G,2016-05-21,tfairhurst,tfairhurst@sla.co.ac,0828157151
177,177-TG,Tashline,Gibson,TG,12G,12,G,2016-02-04,tgibson,tgibson@sla.co.ac,0823726660
178,178-TG,Taylor,Ginn,TG,12G,12,G,2016-11-06,tginn,tginn@sla.co.ac,0821487926
179,179-TK,Thandiswa,Khan,TK,12G,12,G,2016-08-19,tkhan,tkhan@sla.co.ac,0820892431
180,180-TK,Thando,Komane,TK,12G,12,G,2016-02-12,tkomane,tkomane@sla.co.ac,0826276452
181,181-TM,Thando,Masondo,TM,12G,12,G,2016-08-09,tmasondo,tmasondo@sla.co.ac,0822167553
182,182-TN,Thapelo,Naidoo,TN,12G,12,G,2016-12-23,tnaidoo,tnaidoo@sla.co.ac,0829032452
183,183-TR,Thati,Ramjattan,TR,12G,12,G,2016-02-11,tramjattan,tramjattan@sla.co.ac,0820771118
184,184-TS,Thato,Shampandle,TS,12G,12,G,2016-03-29,tshampandle,tshampandle@sla.co.ac,0824099682
185,185-TS,Thato,Smallwood,TS,12G,12,G,2016-07-08,tsmallwood,tsmallwood@sla.co.ac,0823476477
186,186-TT,Thelma,Tantsi,TT,12G,12,G,2016-12-28,ttantsi,ttantsi@sla.co.ac,0822672643
187,187-TV,TJ,Vass,TV,12G,12,G,2016-01-22,tvass,tvass@sla.co.ac,0824854219
188,188-TB,Travis,Beach,TB,12R,12,R,2016-09-01,tbeach,tbeach@sla.co.ac,0821563133
189,189-TD,Tristen,Dhanasir,TD,12R,12,R,2016-05-18,tdhanasir,tdhanasir@sla.co.ac,0829356355
190,190-TD,Tshepo,Dhladhla,TD,12R,12,R,2016-08-03,tdhladhla,tdhladhla@sla.co.ac,0822499340
191,191-TD,Tshiala,Dhunraj,TD,12R,12,R,2016-02-15,tdhunraj,tdhunraj@sla.co.ac,0827133184
192,192-TF,Tshiamo,Fella,TF,12R,12,R,2016-10-19,tfella,tfella@sla.co.ac,0829303356
193,193-TH,Tumeshen,Hadebe,TH,12R,12,R,2016-12-21,thadebe,thadebe@sla.co.ac,0825487905
194,194-TK,Tumi,Kitchener,TK,12R,12,R,2016-01-01,tkitchener,tkitchener@sla.co.ac,0821273035
195,195-TM,Tumisho,Malapela,TM,12R,12,R,2016-07-11,tmalapela,tmalapela@sla.co.ac,0829051141
196,196-TM,Tyler,Morrey,TM,12R,12,R,2016-08-04,tmorrey,tmorrey@sla.co.ac,0829780470
197,197-VM,Vuyo,Mothekhe,VM,12R,12,R,2016-03-22,vmothekhe,vmothekhe@sla.co.ac,0826810950
198,198-WM,Warrick,Mtetwa,WM,12R,12,R,2016-02-28,wmtetwa,wmtetwa@sla.co.ac,0824953500
199,199-WN,Wonolan,Nkente,WN,12R,12,R,2016-08-28,wnkente,wnkente@sla.co.ac,0821160931
200,200-ZS,Zanele,Shilenge,ZS,12R,12,R,2016-03-12,zshilenge,zshilenge@sla.co.ac,0826119456
201,201-ZS,Zinhle,Stappard,ZS,12R,12,R,2016-10-29,zstappard,zstappard@sla.co.ac,0827687154
202,202-ZV,Zitha,VanGreunen,ZV,12R,12,R,2016-03-09,zvangreunen,zvangreunen@sla.co.ac,0822941703
203,203-ZA,Zwane,Adams,ZA,08L,08,A,2017-12-29,zadams,zadams@sla.co.ac,0826695204
204,204-ZA,Zwane,Aphane,ZA,08L,08,A,2018-02-12,zaphane,zaphane@sla.co.ac,0828453660
205,205-WB,Woodburn,Badari,WB,08L,08,A,2019-12-27,wbadari,wbadari@sla.co.ac,0829589293
206,206-WB,Weston,Baleta,WB,08L,08,A,2020-08-13,wbaleta,wbaleta@sla.co.ac,0828358649
207,207-WB,Wanga,Baloyi,WB,08L,08,A,2021-10-23,wbaloyi,wbaloyi@sla.co.ac,0821594247
208,208-WB,Waite,Bambata,WB,08L,08,A,2022-03-25,wbambata,wbambata@sla.co.ac,0822776648
209,209-WB,Waite,Barnes,WB,08L,08,A,2023-05-20,wbarnes,wbarnes@sla.co.ac,0828910066
210,210-VB,Verwey,Bassog,VB,08L,08,A,2024-12-20,vbassog,vbassog@sla.co.ac,0825323675
211,211-VB,Vass,Beach,VB,08L,08,A,2025-01-29,vbeach,vbeach@sla.co.ac,0825788264
212,212-VB,VanGreunen,Botha,VB,08L,08,A,2026-03-22,vbotha,vbotha@sla.co.ac,0825291713
213,213-VB,VanderMerwe,Britz,VB,08L,08,A,2027-11-28,vbritz,vbritz@sla.co.ac,0827693915
214,214-VB,Vanda,Brown,VB,08L,08,A,2028-11-01,vbrown,vbrown@sla.co.ac,0820715819
215,215-VC,Van Niekerk,Carstens,VC,08L,08,A,2029-01-06,vcarstens,vcarstens@sla.co.ac,0820142813
216,216-VC,Van Eyk,Clark,VC,08L,08,A,2030-06-05,vclark,vclark@sla.co.ac,0820912347
217,217-TC,Tladi,Clark,TC,08L,08,A,2031-12-30,tclark,tclark@sla.co.ac,0827410425
218,218-TC,Tiltmann,Clarke,TC,08L,08,A,2032-01-09,tclarke,tclarke@sla.co.ac,0820416968
219,219-TC,Themba,Coetzee,TC,08L,08,A,2033-12-01,tcoetzee,tcoetzee@sla.co.ac,0823418660
220,220-TC,Tetsa,Coetzee,TC,08L,08,A,2034-12-01,tcoetzee,tcoetzee@sla.co.ac,0826642464
221,221-TC,Tantsi,Confait,TC,08L,08,A,2035-10-07,tconfait,tconfait@sla.co.ac,0828913555
222,222-TD,Taljaard,Davis,TD,08L,08,A,2036-03-03,tdavis,tdavis@sla.co.ac,0829699890
223,223-SD,Sukdaven,De Grandi Sala,SD,08L,08,A,2037-12-01,sde grandi sala,sde grandi sala@sla.co.ac,0823177095
224,224-SD,Strydom,De Klerk,SD,08L,08,A,2038-07-01,sde klerk,sde klerk@sla.co.ac,0822638997
225,225-Sd,Steenkamp,de Nysschen,Sd,08L,08,A,2039-07-16,sde nysschen,sde nysschen@sla.co.ac,0825927741
226,226-SD,Stappard,De Sas Kropiwnicki,SD,08L,08,A,2040-06-11,sde sas kropiwnicki,sde sas kropiwnicki@sla.co.ac,0828009109
227,227-SD,Spohr,De Wet,SD,08L,08,A,2041-10-21,sde wet,sde wet@sla.co.ac,0820373296
228,228-SD,Solomons,Delaport,SD,08M,08,B,2042-08-12,sdelaport,sdelaport@sla.co.ac,0820747030
229,229-SD,Smith,Delport,SD,08M,08,B,2043-06-25,sdelport,sdelport@sla.co.ac,0827606400
230,230-SD,Smith,Dhanasir,SD,08M,08,B,2044-10-07,sdhanasir,sdhanasir@sla.co.ac,0824265243
231,231-SD,Smit,Dhladhla,SD,08M,08,B,2045-03-27,sdhladhla,sdhladhla@sla.co.ac,0823959809
232,232-SD,Smallwood,Dhunraj,SD,08M,08,B,2046-01-05,sdhunraj,sdhunraj@sla.co.ac,0827285085
233,233-SD,Smallwood,Dias,SD,08M,08,B,2047-04-03,sdias,sdias@sla.co.ac,0823470062
234,234-SD,Smal,Dlamini,SD,08M,08,B,2048-04-02,sdlamini,sdlamini@sla.co.ac,0827725732
